site,basin_areasqkm,springprev_point,springprev_basinmean,springprev_iew01km,springprev_iew05km,sitename,springprev_basinmean_log,springprev_iew01km_log,springprev_iew05km_log,springprev_point_norm,springprev_basinmean_norm,springprev_iew01km_norm,springprev_iew05km_norm,springprev_basinmean_log_norm,springprev_iew01km_log_norm,springprev_iew05km_log_norm
1,124.82082137137289,0.01242579985409975,0.06157178017541757,0.0204918571769771,0.03344477201276476,blackrock_1A,-2.7875516274443854,-3.8877276826260783,-3.3978597972158413,0.011491042680046155,0.1520450762502093,0.04121625426467178,0.07929988005002396,0.62751217423002,0.39617733815019734,0.5040468195426309
2,122.69469084628126,0.03165080025792122,0.06239527244101941,0.02575258008171057,0.03584368617885718,blackrock_4B,-2.7742657686400034,-3.6592204595438274,-3.3285878451916284,0.03261668755792451,0.15417372485089073,0.05345117486431123,0.08549893957745949,0.630194534409899,0.44141414761432285,0.518037676823025
3,61.07556400772026,0.2346460074186325,0.2587749026601077,0.2623735302758623,0.2603224576449349,blacktail_1A,-1.3517966968688706,-1.3379861024735615,-1.3458341946949766,0.2556806442970934,0.661796252140437,0.6037630978191968,0.6655769126174519,0.9173851821059136,0.9009411372472631,0.9184944639593694
4,0.922382693851633,0.5877969861030579,0.2570351318307085,0.2645915340499316,0.2579759539139316,blacktail_4B,-1.3585425036990908,-1.3295680230892883,-1.3548889002880713,0.6437452480554051,0.6572991112488944,0.6089215333720409,0.659513287450932,0.9160232314869162,0.90260763622276,0.9166656849230186
5,0.001617505819992,0.37939101457595825,0.20117297215121133,0.20333705777453537,0.2016038305561056,bluecrane_Ford,-1.6035901830245478,-1.5928902937266982,-1.6014507421911026,0.41473560163502937,0.5129007811129096,0.4664613302452729,0.5138414858823385,0.8665491141662085,0.8504786084230666,0.8668675856915913
6,957.555762283798,0.08374500274658203,0.03996538466696018,0.04388035961161083,0.04678469205622582,buffalofork_2051,-3.219741582854512,-3.126288448266601,-3.0621992223807464,0.08986108801853401,0.09619461415602744,0.09561114930366747,0.11377170885052958,0.5402548020416733,0.5469169125873293,0.5718401913178541
7,23.50858696191606,0.11977200210094452,0.02895580934729488,0.04106154318400345,0.03297834485963322,cabin_NA,-3.5419844267939817,-3.192683284463806,-3.4119041492946125,0.12944983071757332,0.06773591687709812,0.08905539721383507,0.07809458069903279,0.47519529888414386,0.5337729492852429,0.5012102815241697
8,8.80109179245371,0.22257000207901,0.06329706746596328,0.06238582457469958,0.06360992522354367,christian_NA,-2.7599162784570836,-2.774417199691081,-2.7549857638377264,0.24241076679438514,0.15650477858160833,0.13864951087163369,0.15724997224212103,0.6330916373849459,0.6165756849141245,0.6338880985514966
9,8.80109179245371,0.22257000207901,0.06329706746596328,0.06238582457469958,0.06360992522354367,christiansen_NA,-2.7599162784570836,-2.774417199691081,-2.7549857638377264,0.24241076679438514,0.15650477858160833,0.13864951087163369,0.15724997224212103,0.6330916373849459,0.6165756849141245,0.6338880985514966
10,158.60445230419023,0.4102100133895874,0.03224565525720873,0.11112701784001217,0.05428518906652451,cliff_1A,-3.434371965522711,-2.197081427022605,-2.913503850454161,0.44860146435298626,0.07623985332570296,0.2520074353112966,0.13315382268744566,0.49692181165406857,0.7308689137790467,0.6018721980115999
11,157.30333062258606,0.20187099277973175,0.02968510050354145,0.08196493075645014,0.04665923235111174,cliff_4B,-3.5171100255976717,-2.501463796898192,-3.064884464493504,0.21966538782973588,0.06962106463631727,0.18418485152416794,0.11344750709654873,0.48021733804997546,0.6706113556827555,0.5712978529245349
12,35.541940634471985,0.4403800070285797,0.07362693542024372,0.23587935266022397,0.09978663863621454,coburn_NA,-2.608744349814387,-1.4444348222141896,-2.3047209860282893,0.4817541591877031,0.18320649744964515,0.5421453001609294,0.2507346008803441,0.6636126272341628,0.8798678407988896,0.7248280830710367
13,2.086339881919229,0.3789840042591095,0.23112402296960183,0.22106558160124423,0.22933914438045525,cody_Moment,-1.4648008165651163,-1.50929587215886,-1.4725533911696629,0.41428835298822725,0.5903213776098429,0.5076927513439647,0.58551260435729,0.8945701157034684,0.8670275160230986,0.8929009857801509
14,187.13547571247744,0.4541440010070801,0.07922855600868882,0.2742428083709769,0.12626874719779888,cottonwoodNPS_lower,-2.535418489481068,-1.2937414030658765,-2.069342729194778,0.4968789052362522,0.1976861499311746,0.6313676072561227,0.31916729835058244,0.6784168164709616,0.9097001121711433,0.7723674334435303
15,157.7752379455853,0.49665001034736633,0.07098677019892231,0.1916495771119597,0.1055690610130802,cottonwoodNPS_upper,-2.645261754529833,-1.652086693722267,-2.2483899334685105,0.5435871933838131,0.17638192332953936,0.4392796290787334,0.2656770198437346,0.6562399136050726,0.8387596954213634,0.7362052666754886
16,185.09580087352077,0.06845449656248093,0.02376372472076934,0.0350282996566207,0.02580839304903574,crystal_1A,-3.7395950324317946,-3.351598982584836,-3.657055527978904,0.07305891392941857,0.054314875615956625,0.07502381698188662,0.059566632216766974,0.43529853138953484,0.5023129408890448,0.45169705357204076
17,182.4971160231316,0.04147110134363174,0.02365323441689256,0.03548894646433751,0.02512332675676462,crystal_4B,-3.7442554115816,-3.338533998187359,-3.683958511566246,0.04340785473466619,0.0540292687674645,0.07609514828348805,0.057796345148536536,0.43435762003117745,0.5048993720830719,0.44626345753802504
18,11.652188426073078,0.22786499559879303,0.09470688558563452,0.10311262753831706,0.09704309430165985,deadmans_1A,-2.356968571975711,-2.271933416910931,-2.33260012798683,0.24822924015615258,0.2376961487752705,0.23336828043249994,0.24364497888116843,0.7144451199375902,0.7160507160918338,0.7191973323148655
19,7.943490206703669,0.32275599241256714,0.09095234851194264,0.10274644347022992,0.09335672610683426,deadmans_4B,-2.397419552339924,-2.275491039633271,-2.3713273590262287,0.35250146167440055,0.2279910301943694,0.23251664215406717,0.23411899574981174,0.7062782335839399,0.7153464254393768,0.7113755928300637
20,214.37233271423895,0.3695639967918396,0.04728590141380091,0.10739019419240482,0.06025657603437081,dell_NA,-3.051543095276658,-2.2312864028223274,-2.809143566768656,0.40393705372578614,0.11511744850473747,0.243316663823942,0.14858454705359872,0.5742133840225306,0.7240974693051881,0.6229498462100366
21,107.1683333554644,0.21483099460601807,0.05914197759483913,0.24196709894926935,0.10547430558331314,ditch_1973,-2.8278143259075645,-1.4189535168232212,-2.2492879047022187,0.23390665651362924,0.14576426939976436,0.5563036380597383,0.2654321613331733,0.6193833012168217,0.8849122894658515,0.7360239034107675
22,67.67854626613203,0.02578900009393692,0.04447826729515757,0.02810660172267691,0.03939506041225455,ditch_NA,-3.1127545844937625,-3.571750793485686,-3.2341148407851015,0.02617537125060178,0.1078599833316945,0.05892594865274656,0.0946760833820215,0.5618550364256935,0.4587302243841962,0.5371183910641911
23,67.67854626613203,0.02578900009393692,0.04447826729515757,0.02810660172267691,0.03939506041225455,ditch_upper,-3.1127545844937625,-3.571750793485686,-3.2341148407851015,0.02617537125060178,0.1078599833316945,0.05892594865274656,0.0946760833820215,0.5618550364256935,0.4587302243841962,0.5371183910641911
24,31.11256269700198,0.16378599405288696,0.02813506527039463,0.03455024142584243,0.03241683682894734,dog_NA,-3.5707386061992965,-3.365340741069502,-3.4290773359434423,0.17781518541736854,0.06561437208088262,0.07391199174389254,0.07664358184440316,0.46938994847529614,0.49959253099614126,0.4977418127365518
25,0.014314926507007,0.12793199717998505,0.05295480523708757,0.05390212685445853,0.05314349040124513,fall_4B,-2.9383164605879415,-2.92058534257929,-2.9347596576828385,0.13841654877344284,0.12977102170134508,0.1189188826142326,0.13020354706337486,0.5970733752856127,0.5876392673236008,0.5975791622788684
26,109.11953062614134,0.4236519932746887,0.06844515643708486,0.20680690293694912,0.10059554419895536,fall_lower,-2.681722490349066,-1.575969757132474,-2.2966473145543342,0.46337236097423096,0.1698120952891339,0.47453118695963753,0.25282490232021265,0.6488786411927585,0.8538283103695481,0.7264587226303407
27,110.87686982427576,0.15645599365234375,0.07000293416236512,0.19994406501196255,0.1040817427826071,fall_lower2,-2.659218121206038,-1.609717626490617,-2.262578700273505,0.16976051794460212,0.17383880144485853,0.45857020999488346,0.26183362503734137,0.6534221806471026,0.8471473577266418,0.7333395612124162
28,71.61773906485811,0.3998120129108429,0.0640296049128467,0.17877235259818053,0.09646059599821157,fall_upper,-2.7484097258148843,-1.7216420557257464,-2.3386206856520064,0.43717548459018213,0.15839831769106863,0.40933092766964424,0.24213973884017606,0.6354147629780718,0.8249900534130356,0.7179813601850138
29,29.27992860295629,0.4664239883422851,0.14386474251965617,0.23280766917445464,0.1603925054569647,fish_4B,-1.938881708871535,-1.4575426204782311,-1.830131308725088,0.5103729310411526,0.36476449871129407,0.5350014523977643,0.40734686381330093,0.7988551358675547,0.8772729338871234,0.8206809679381551
30,38.70756127479322,0.5138710141181946,0.15938092513335703,0.24151076025424045,0.18012896159724398,fish_downstream,-1.836458186453167,-1.4208412509639152,-1.7140822313040625,0.5625107201698415,0.404872344028376,0.5552423261827721,0.45834804935113244,0.8195340232517376,0.8845385810618471,0.8441194019980395
31,585.2036580129885,0.0948605015873909,0.07469261691380089,0.02974798696869863,0.03801031747828159,fish_Upper_GV,-2.5943740282233163,-3.514993814197565,-3.2698976435222655,0.10207550030560579,0.1859611819983515,0.06274333620996343,0.09109775448671269,0.6665139359847292,0.4699662134404015,0.5298913378116255
32,125.88958834185055,0.6481530070304871,0.05878287802032316,0.2436248117642492,0.11869425678257524,flat_4B,-2.8339046566121926,-1.412125893800173,-2.131204362845622,0.7100682565116865,0.14483603140806925,0.560158998822046,0.29959397737159743,0.6181536885282539,0.8862639311234779,0.7598732382858933
33,126.08288028734188,0.7265160083770752,0.06671957585297349,0.3330384573087701,0.1499869465328393,flat_east fork,-2.7072568780715542,-1.0994973082561272,-1.8972070117870168,0.7961784725449541,0.16535163482197063,0.7681092888434407,0.380457748688368,0.6437233534651935,0.9481539649111823,0.8071336870965019
34,126.08288028734188,0.7265160083770752,0.06671957585297349,0.3330384573087701,0.1499869465328393,flat_eastfork,-2.7072568780715542,-1.0994973082561272,-1.8972070117870168,0.7961784725449541,0.16535163482197063,0.7681092888434407,0.380457748688368,0.6437233534651935,0.9481539649111823,0.8071336870965019
