Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
6.52406E-5,14.756093127,0.012812574,0.218382861,0.093023256,0.092592593
6.65171E-5,15.006517027,0.013059975,0.214631257,0.093023256,0.092592593
6.75156E-5,15.254398142,0.013253438,0.210978379,0.093023256,0.092592593
6.87769E-5,15.506700177,0.013497681,0.207325501,0.093023256,0.111111111
6.9882E-5,15.756389004,0.01371158,0.20377135,0.100775194,0.111111111
7.10512E-5,16.003315469,0.013937804,0.200315925,0.100775194,0.111111111
7.2686E-5,16.254826293,0.014253912,0.1968605,0.100775194,0.12962963
7.42226E-5,16.504599366,0.014550859,0.193503801,0.100775194,0.12962963
7.50763E-5,16.750971346,0.014715772,0.190245829,0.100775194,0.12962963
7.65043E-5,17.001065411,0.014991482,0.186987857,0.11627907,0.12962963
7.7845E-5,17.255583286,0.015250189,0.183729884,0.11627907,0.12962963
7.97083E-5,17.500103194,0.01560952,0.180669365,0.124031008,0.12962963
8.12579E-5,17.750096287,0.015908151,0.177608846,0.139534884,0.12962963
8.2965E-5,18.005251239,0.016236935,0.174548327,0.139534884,0.12962963
8.46032E-5,18.256978835,0.016552242,0.171586534,0.139534884,0.148148148
8.62917E-5,18.505182482,0.016877008,0.168723467,0.147286822,0.166666667
8.78698E-5,18.757654158,0.017180343,0.165860401,0.147286822,0.166666667
8.9658E-5,19.00621355,0.017523859,0.163096061,0.147286822,0.166666667
9.15543E-5,19.250770284,0.017887858,0.160430447,0.147286822,0.166666667
9.30014E-5,19.509222568,0.018165459,0.157666107,0.15503876,0.166666667
9.48691E-5,19.753772094,0.018523501,0.15509922,0.15503876,0.166666667
9.62619E-5,20.002207948,0.018790351,0.152532333,0.162790698,0.166666667
9.77189E-5,20.254358841,0.019069325,0.149965446,0.162790698,0.166666667
9.93325E-5,20.500792716,0.019378113,0.147497285,0.162790698,0.166666667
1.01155E-4,20.751620564,0.019726674,0.145029124,0.162790698,0.166666667
1.02818E-4,21.00639092,0.020044415,0.142560964,0.162790698,0.166666667
1.05112E-4,21.256437342,0.02048247,0.140191529,0.170542636,0.166666667
1.0698E-4,21.500628342,0.020838914,0.137920821,0.178294574,0.166666667
1.08473E-4,21.759273559,0.021123641,0.135551387,0.178294574,0.166666667
1.11365E-4,22.001323895,0.02167461,0.133379406,0.186046512,0.166666667
1.13608E-4,22.259829364,0.022101388,0.131108698,0.186046512,0.166666667
1.15769E-4,22.500302351,0.022512404,0.129035443,0.186046512,0.166666667
1.18587E-4,22.757776349,0.023047784,0.126863461,0.186046512,0.166666667
1.20993E-4,23.009054776,0.023504325,0.124790206,0.186046512,0.185185185
1.23091E-4,23.253040984,0.023902169,0.122815678,0.186046512,0.185185185
1.26263E-4,23.50226701,0.024503026,0.120841149,0.19379845,0.185185185
1.28752E-4,23.757323151,0.024973941,0.118866621,0.19379845,0.185185185
1.30933E-4,24.004143466,0.025386361,0.116990818,0.209302326,0.203703704
1.33087E-4,24.255600663,0.025793169,0.115115016,0.209302326,0.203703704
1.3633E-4,24.51141159,0.026405116,0.113239214,0.209302326,0.203703704
1.38116E-4,24.758504734,0.026741835,0.111462138,0.209302326,0.203703704
