X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
508294.0758,4833820.794,train,4.3803777007226025E-4,42.5216522319103,0.08015739066040728
508575.2854,4834458.805,train,4.130930845380174E-4,41.52922859117084,0.07593935234063927
508604.4944,4834533.334,train,0.0015403034483412177,64.80453809666811,0.234552549180838
508747.4343,4834760.58,train,2.896690484745298E-4,35.81432494354785,0.054486429297149905
514115.7336,4914013.477,train,1.0955467437939705E-4,21.849805940388535,0.02132975107664511
515074.8015,4866997.377,train,6.370607940731138E-5,14.462939880564901,0.012514972130587347
518900.5056,4868544.255,train,4.4883604534182225E-5,10.400324395471987,0.008850047068071434
520691.297,4897473.96,train,5.723640325670178E-4,47.063314151551914,0.10222525607540307
521054.6734,4816076.906,train,0.002217146670643627,70.94416294195419,0.3060738206018971
520826.7306,4897535.342,train,0.0028018893684467984,75.7848282180415,0.35790552618833316
521413.1456,4816027.669,train,3.047123458407547E-4,36.56890683481939,0.05715433150110468
521958.5721,4821150.763,train,6.44641021324312E-4,49.26564737858552,0.11366675598818556
522499.3976,4822503.737,train,0.00482644469339203,87.66974154002713,0.48983883772393916
522637.4911,4822157.882,train,0.0028567356156512917,76.33842622002273,0.36237268355522123
522449.1057,4881746.762,train,9.524102300667529E-5,19.82011256627572,0.0185947740906459
522728.0058,4822651.641,train,0.007769393252510123,98.41800067244162,0.6071699640457227
522568.3149,4886766.46,train,4.5518217916431326E-5,10.55663019915505,0.008974055753384398
522794.2082,4822677.841,train,0.004562852344009906,86.24725225607453,0.475815783183258
524952.105,4891107.206,train,1.2031268274676332E-5,2.4312185407608045,0.002387765462192941
525001.5983,4892754.071,train,8.102695169816172E-5,17.712837974984225,0.015863655140831392
525477.0195,4892549.446,train,3.1245332884703383E-4,37.00599293076277,0.05852132264638514
525643.7251,4891728.245,train,9.189224568197408E-5,19.311127435111974,0.01795269942936784
525927.4539,4891288.967,train,8.512017596404304E-5,18.33297250967387,0.01665169225935791
529465.5779,4822078.807,train,5.2368795426080245E-5,12.110020920750314,0.01031074222772645
529760.3661,4792964.026,train,8.211810530610073E-4,52.57929431239591,0.14042409737806386
531384.8003,4883054.331,train,0.0010337109879693129,56.9522071717354,0.17056827716432604
532170.1381,4838925.4,train,1.2972357332219171E-4,23.867274564768437,0.02515774649813707
532111.5471,4883067.785,train,0.0012397480746762907,61.030524544860235,0.1978395723435512
532279.9122,4881591.348,train,9.150306271176698E-4,54.52324349408477,0.15400112839695174
534205.1926,4879285.55,train,6.483119208656038E-5,14.676685347032253,0.01273318460129862
537662.3918,4832821.605,train,1.517161450253321E-5,3.2648273168984243,0.0030091335817792942
547085.7178,4849298.402,train,0.0011974612745175982,60.01346477148353,0.19238969917921148
557052.5574,4824468.331,train,4.4322571694670384E-5,10.258193379692084,0.008740390778490533
559410.493,4826882.602,train,1.859175313273066E-4,28.725302219693273,0.03566694295250993
566317.2779,4788198.469,train,1.2324885803312498E-4,23.26544398849808,0.023932133028536487
566805.0656,4787425.749,train,0.0012567485417503545,61.204350437487946,0.2000098994189135
566621.0211,4806773.882,train,1.7163302622506054E-4,27.711135994604767,0.03301704248620477
567359.3476,4806699.611,train,2.2106261487155477E-4,31.04614719518661,0.042125252355851094
568163.8632,4870146.469,train,1.534726087971546E-5,3.3065221394054434,0.0030438651917285586
570516.7515,4870202.927,train,4.5491337905972173E-5,10.55032588315621,0.008968803807146774
571348.6272,4813022.753,train,2.1947845540890986E-4,30.941509992624084,0.04183600729287285
571442.9518,4812415.211,train,1.30666278139232E-4,23.973958975540512,0.02533593657427508
571771.5982,4811948.32,train,2.3768221863622034E-4,32.2624906883896,0.04514926334881414
571822.7124,4848466.838,train,2.1562908229146483E-4,30.73125075630442,0.04113243784710041
571980.3908,4849049.55,train,1.0353831609234679E-4,21.08490550657382,0.020182036324926995
573127.0277,4813726.579,train,6.982310867427288E-5,15.743082962880392,0.013700190886965022
576109.0513,4863844.173,train,9.406441922151733E-4,55.58644207018603,0.15763241019330249
576141.4464,4863861.32,train,5.355089459735105E-4,45.57851063721067,0.09627660034294415
576569.9215,4828818.318,train,1.7823168290615796E-5,3.9574152547646397,0.003533183853284739
578840.1432,4814446.477,train,1.64669767298946E-4,27.190582874281453,0.0317200101305577
579505.1844,4815331.641,train,5.837264217296286E-5,13.385899353719905,0.011479253030213651
580928.8421,4821096.357,train,4.3133741496130426E-4,42.282295957793046,0.07902817686406415
581385.4014,4820929.234,train,0.0012869533039831613,61.53844061818447,0.20383709329238778
583635.4629,4816033.799,train,2.5210291240538197E-4,33.420339540620695,0.047757743762997656
584225.4868,4820578.98,train,7.638219203231208E-5,16.979679922198905,0.014967903962060212
584298.6316,4820247.218,train,7.883348731530201E-5,17.38530197187818,0.01544084425382523
584735.4597,4820704.372,train,6.003487476698353E-4,47.76936832204901,0.10669012687550991
584749.2014,4820309.489,train,6.335277191348501E-4,48.938993797689776,0.11192652238211893
588021.1375,4813674.263,train,5.698198985171062E-4,46.993195619361444,0.10181713349007271
589712.4186,4809486.834,train,7.609305102136495E-5,16.929040951060266,0.014912088624576667
512287.2589,4820614.481,train,0.004381499042925239,84.89789885506441,0.4657115424178916
522733.9205,4821731.758,train,0.0024120304278888,72.09975457922266,0.3242537033972108
514296.3992,4808167.525,train,0.002042451878117443,69.6694342257442,0.2889252883749893
517720.0116,4821457.157,train,0.0016665719746957659,66.5989049775151,0.248992746026519
514607.5193,4807758.673,train,0.001406776820650393,63.1469174702592,0.2186656676018605
514197.6304,4808286.411,train,0.0024690412812498177,72.58770642704282,0.32939328308033894
524452.1156,4835011.887,train,0.003760292368259469,81.95832259045683,0.4279393243032913
517210.459,4822552.728,train,0.001157871182020708,59.11395988347479,0.18721982520502142
550606.2105,4847903.793,train,8.054830012715662E-5,17.635618313971786,0.015771421528226796
513812.9964,4811598.447,train,0.005450196393781967,89.2502391153772,0.5202118023981198
513634.4282,4811663.559,train,0.0019761730759993365,68.59855577485965,0.2821952944202735
523821.2054,4837175.339,train,0.006689978155276126,94.10441964377715,0.5709799044192598
517534.689,4821494.056,train,0.0022837047937761634,71.62203425713597,0.3123917375735329
524187.286,4837348.802,train,0.004608220727364406,86.70805243230424,0.4782840372298283
523458.2478,4836420.052,train,0.005783955099857457,91.0741070103497,0.5350243864695726
523780.1972,4837148.538,train,0.006738025899583073,94.7782070270719,0.5727320470144306
