day,temperature
1,1
213,11.30395833
214,10.50358333
215,11.20379167
216,10.96170833
217,10.68529167
218,10.06566667
219,10.700625
220,10.74666667
221,10.82408333
222,10.60891667
223,10.79291667
224,11.008375
225,11.04579167
226,10.89658333
227,10.82529167
228,10.56516667
229,10.37816667
230,9.730833333
231,10.037
232,10.376375
233,9.747916667
234,10.39583333
235,10.442625
236,10.30633333
237,10.52725
238,10.16716667
239,10.17325
240,10.29195833
241,10.30320833
242,10.220625
243,10.18929167
244,10.13320833
245,9.871958333
246,10.299875
247,9.895875
248,9.996916667
249,10.052875
250,10.069375
251,10.15066667
252,10.223875
253,10.06875
254,10.50358333
255,9.981125
256,10.25716667
257,9.876916667
258,9.847875
259,9.677166667
260,9.630458333
261,9.636375
262,9.373125
263,9.426875
264,9.441791667
265,9.519833333
266,9.596416667
267,9.643291667
268,9.676166667
269,9.6975
270,9.586458333
271,9.309916667
272,9.2775
273,9.029833333
274,9.15375
275,9.195375
276,9.104083333
277,9.092291667
278,9.205166667
279,9.714916667
280,8.827916667
281,9.170375
282,9.099958333
283,8.95075
284,8.898166667
285,8.259625
286,8.077458333
287,8.188166667
288,8.476958333
289,8.527333333
290,8.605708333
291,8.650083333
292,8.781333333
293,8.792458333
294,8.761833333
295,8.735166667
296,8.513666667
297,8.393166667
298,8.675791667
299,8.463916667
300,7.973541667
301,8.502708333
302,8.613
303,8.781291667
304,8.299375
305,8.6295
306,8.617416667
307,8.590916667
308,8.362791667
309,8.33375
365,1
