day,temperature
1,1
213,11.55308333
214,11.14141667
215,11.38970833
216,11.08189583
217,10.06658333
218,10.26866667
219,11.41166667
220,11.553125
221,11.56514583
222,11.698
223,11.98404167
224,11.95416667
225,11.55572917
226,11.54552083
227,11.64125
228,11.62672917
229,11.67052083
230,11.59995833
231,11.51252083
232,11.41464583
233,11.3291875
234,10.79702083
235,10.75566667
236,10.9189375
237,11.69875
238,11.33204167
239,10.86870833
240,11.0168125
241,10.954125
242,11.03566667
243,10.88989583
244,11.258125
245,10.99772917
246,11.103125
247,11.11979167
248,10.81402083
249,10.705375
250,10.6301875
251,10.58377083
252,10.323
253,9.956645833
254,10.05247917
255,10.02845833
256,9.729833333
257,10.1683125
258,9.780020833
259,9.382541667
260,9.571354167
261,10.2594375
262,10.16516667
263,9.61975
264,9.994291667
265,9.611104167
266,9.714041667
267,9.614604167
268,9.8073125
269,9.9548125
270,9.984333333
271,9.702291667
272,9.594666667
273,9.6648125
274,8.880291667
275,8.769583333
276,9.309083333
277,9.4005625
278,9.397291667
279,9.337791667
280,9.433229167
281,9.169583333
282,9.060854167
283,8.720166667
284,8.730333333
285,8.953416667
286,8.813729167
287,8.45325
288,8.514
289,8.511145833
290,8.456916667
291,8.479854167
292,8.378104167
293,7.969458333
294,8.081375
295,7.7280625
296,7.166833333
297,6.801729167
298,6.170854167
299,5.957729167
300,6.659291667
301,6.451791667
302,6.788291667
303,6.860395833
304,7.421104167
305,7.205104167
306,6.775625
307,5.8475625
308,4.252363636
365,1
