day,temperature
1,1
213,14.57320833
214,14.43245833
215,13.682125
216,13.71179167
217,12.9465
218,12.36754167
219,13.604875
220,13.94866667
221,14.29308333
222,14.34066667
223,15.72008333
224,15.86920833
225,15.10441667
226,14.56941667
227,14.41604167
228,14.57345833
229,14.67404167
230,14.6315
231,14.337
232,14.00954167
233,14.01625
234,13.98691667
235,14.32508333
236,13.78954167
237,14.472
238,14.226875
239,13.303125
240,13.5475
241,13.18091667
242,13.14470833
243,13.198875
244,13.43779167
245,13.34145833
246,13.4935
247,13.73475
248,13.60820833
249,13.21441667
250,13.13145833
251,13.39716667
252,12.308625
253,10.805875
254,10.3295
255,10.458
256,9.9075
257,10.925375
258,10.66379167
259,10.18016667
260,9.535833333
261,9.998291667
262,10.58945833
263,10.12008333
264,10.30220833
265,10.47370833
266,10.1755
267,9.290791667
268,9.306
269,9.684
270,9.992833333
271,9.4125
272,9.907833333
273,9.28975
274,8.595875
275,8.150291667
276,8.2945
277,8.069625
278,7.974416667
279,7.827833333
280,7.720875
281,7.615125
282,7.289541667
283,6.82225
284,6.679875
285,6.712083333
286,6.527708333
287,5.830458333
288,5.484375
289,5.180291667
290,4.886333333
291,4.885666667
292,4.861291667
293,4.450708333
294,4.6565
295,5.675833333
296,4.418708333
297,2.831041667
298,2.452166667
299,1.10175
300,0.579941176
365,1
