stream,date,priordate,reach,year,prodwtmean,prodwtsd,prodwtq5,prodwtq25,prodwtq50,prodwtq75,prodwtq95,prodlenmean,prodlensd,prodlenq5,prodlenq25,prodlenq50,prodlenq75,prodlenq95
Upper Bar BC,2021-08-05,NA,1,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Upper Bar BC,2021-08-05,NA,2,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Upper Bar BC,2021-08-05,NA,3,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Upper Bar BC,2021-08-05,NA,4,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Upper Bar BC,2021-08-20,2021-08-05,1,2021,-0.10497733333333334,0.9084710750990507,-1.4906666666666666,-0.5159999999999999,-0.05733333333333338,0.2293333333333333,1.0319999999999998,4.483466666666667,32.45011485928898,-51.6,-11.466666666666667,5.733333333333333,17.2,57.333333333333336
Upper Bar BC,2021-08-20,2021-08-05,2,2021,0.1879621621621622,0.8988940595094864,-1.3507507507507508,-0.3117117117117117,0.10390390390390385,0.7273273273273273,1.8702702702702703,29.363243243243243,44.65232304044545,-62.34234234234234,10.39039039039039,31.17117117117117,51.951951951951955,103.90390390390391
Upper Bar BC,2021-08-20,2021-08-05,3,2021,0.2140328888888889,0.13694151909139343,-0.016888888888888884,0.10133333333333336,0.23644444444444448,0.3208888888888889,0.4222222222222223,11.2024,5.620064065546014,1.688888888888889,6.755555555555556,11.822222222222223,15.200000000000001,18.57777777777778
Upper Bar BC,2021-08-20,2021-08-05,4,2021,0.19935422222222218,0.35484650292955217,-0.21511111111111114,-0.053777777777777744,0.10755555555555557,0.3764444444444444,0.8604444444444445,20.596888888888888,16.647399657969476,-5.377777777777777,10.755555555555555,16.133333333333333,32.266666666666666,48.39999999999999
Upper Bar BC,2021-09-09,2021-08-20,1,2021,0.5361916666666667,0.3916950968142348,0.049333333333333326,0.27133333333333337,0.4686666666666667,0.7307500000000001,1.2703333333333335,16.56736666666667,9.2123729355080215,2.466666666666667,11.1,16.033333333333335,23.433333333333334,32.06666666666667
Upper Bar BC,2021-09-09,2021-08-20,2,2021,0.8848648648648648,1.3444871794843234,-0.33783783783783783,0.06756756756756757,0.33783783783783783,1.3513513513513513,3.378378378378378,25.66216216216216,31.332852330170564,-13.682432432432423,3.378378378378378,20.27027027027027,43.91891891891892,84.45945945945945
Upper Bar BC,2021-09-09,2021-08-20,3,2021,0.170694,0.07517161123146912,0.045000000000000005,0.09900000000000002,0.19499999999999998,0.231,0.273,3.6,1.6047227595865696,0.6,2.4,3.6,4.8,6.3
Upper Bar BC,2021-09-09,2021-08-20,4,2021,0.4625366666666667,0.4863548308126364,-0.2006666666666667,0.1433333333333333,0.42999999999999994,0.7166666666666667,1.2613333333333334,20.677266666666668,17.230493117976753,-8.6,8.6,20.06666666666667,31.53333333333334,48.733333333333334
Upper Bar BC,2021-10-09,2021-09-09,1,2021,2.3063506666666664,1.9831669056244379,-0.5800000000000001,1.0053333333333332,2.1653333333333333,3.4026666666666663,5.724599999999998,29.556799999999996,32.47811628393661,-27.066666666666663,7.7333333333333325,30.93333333333333,50.26666666666666,81.19999999999999
Upper Bar BC,2021-10-09,2021-09-09,2,2021,6.328798798798798,4.037688230808789,0.058858858858858894,4.061261261261261,6.12132132132132,8.299099099099099,14.011351351351346,109.64228228228227,69.96556214628204,-23.54354354354354,70.6306306306306,123.60360360360359,153.033033033033,217.77777777777774
Upper Bar BC,2021-10-09,2021-09-09,3,2021,1.9160417777777778,1.8233771161760561,0.09555555555555521,0.9507777777777777,1.5862222222222224,2.3124444444444445,4.777777777777778,23.21808888888889,17.153152025332172,0,12.9,21.022222222222226,30.57777777777778,57.333333333333336
Upper Bar BC,2021-10-09,2021-09-09,4,2021,1.8729993333333335,1.3172434390927685,0.4753333333333331,1.1986666666666665,1.6533333333333333,2.2113333333333336,4.154000000000001,32.901333333333334,18.965629614178848,4.133333333333334,20.666666666666668,31,43.4,68.2
Upper Bar BC,2021-11-04,2021-10-09,1,2021,2.2338015384615386,2.9736931745631034,-2.030038461538461,0.18076923076923096,1.8438461538461537,3.8413461538461537,7.845384615384615,32.202230769230766,29.406327568896714,-10.846153846153847,10.846153846153847,28.923076923076923,50.61538461538461,86.76923076923077
Upper Bar BC,2021-11-04,2021-10-09,2,2021,0.0019158004158003868,3.843724506491467,-5.313825363825364,-2.0166320166320166,-0.30249480249480276,1.613305613305613,4.4416320166320125,-2.3359320859320856,38.94621872811924,-60.4989604989605,-30.24948024948025,-3.3610533610533606,20.166320166320165,53.94490644490628
Upper Bar BC,2021-11-04,2021-10-09,3,2021,0.5161907692307691,3.1893089789968596,-4.316923076923077,-0.47179487179487173,0.6133333333333333,2.0287179487179485,4.036205128205126,10.870153846153846,24.413212375098723,-28.425641025641017,-2.3589743589743586,11.794871794871794,25.94871794871795,44.82051282051282
Upper Bar BC,2021-11-04,2021-10-09,4,2021,1.9260020512820513,3.1002315876203292,-2.6872692307692305,0.13974358974358989,1.830641025641026,3.8289743589743592,7.2680641025641,19.021897435897436,28.662024621995823,-30.743589743589745,2.794871794871795,19.564102564102566,36.333333333333336,64.28205128205128
Blacktail,2021-08-05,NA,1,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blacktail,2021-08-05,NA,2,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blacktail,2021-08-05,NA,3,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blacktail,2021-08-05,NA,4,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blacktail,2021-08-20,2021-08-05,1,2021,0.8103644444444444,3.255182319158646,-3.1599999999999993,-1.0533333333333332,0,2.1066666666666665,7.373333333333334,33.495999999999995,139.0575968660459,-140.44444444444443,-43.888888888888886,0,105.33333333333333,316
Blacktail,2021-08-20,2021-08-05,2,2021,0.7872432432432432,3.035234015347718,-2.69054054054054,-0.5945945945945947,0.5945945945945943,1.7837837837837835,6.837837837837837,17.005405405405405,129.25328738492087,-178.3783783783784,-59.45945945945946,0,59.45945945945946,237.83783783783784
Blacktail,2021-08-20,2021-08-05,3,2021,0.05540311111111111,0.1724943366974305,-0.09555555555555559,-0.05733333333333333,-0.0191111111111111,0.09555555555555555,0.43955555555555553,2.780666666666667,7.920201098285898,-5.733333333333333,-3.8222222222222224,0,5.733333333333333,19.11111111111111
