stream,location,site,lat,long,date,meanT,maxT,minT,sdT
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-10-30,3.6375,5.23,1.71,1.404927553
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-10-31,2.2325,4.5,0.55,1.431233126
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-11-01,3.04875,4.42,1.97,0.920908401
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-11-02,3.35,4.5,2.53,0.654157274
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-11-03,3.384166667,5.45,1.88,1.153930586
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-11-04,2.501666667,4.29,0.73,1.155748079
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-11-05,2.159166667,3.99,0.86,1.006992581
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-11-06,2.04875,3.9,0.51,1.366424444
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-11-07,2.32125,3.77,0.94,0.790307109
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-11-08,0.839583333,2.27,0.3,0.719694858
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-11-09,0.579166667,1.28,0.3,0.350700128
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-11-10,0.512083333,1.2,0.3,0.276074646
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-11-11,0.323333333,0.34,0.3,0.020144406
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-11-12,0.402083333,0.55,0.25,0.097400079
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-11-13,0.947083333,2.23,0.34,0.66183854
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-11-14,1.094166667,1.88,0.3,0.557774434
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-11-15,1.021666667,2.7,0.3,0.898485037
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-11-16,1.217916667,2.14,0.3,0.500408348
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-11-17,0.32,0.34,0.3,0.020430157
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-11-18,0.321666667,0.34,0.3,0.020359095
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-11-19,0.32,0.34,0.3,0.020430157
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-11-20,0.321666667,0.34,0.3,0.020359095
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-11-21,0.32125,0.38,0.25,0.027396049
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-11-22,0.308333333,0.34,0.3,0.016594045
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-11-23,0.309583333,0.38,0.25,0.025277446
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-11-24,0.323333333,0.34,0.3,0.020144406
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-11-25,0.31125,0.34,0.25,0.023090088
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-11-26,0.322916667,0.38,0.25,0.027263476
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-11-27,0.328333333,0.34,0.3,0.018572225
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-11-28,0.329583333,0.38,0.25,0.030571252
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-11-29,0.32625,0.38,0.25,0.031459083
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-11-30,0.328333333,0.38,0.3,0.024963742
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-12-01,0.326666667,0.38,0.3,0.022586388
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-12-02,0.33,0.38,0.3,0.021264381
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-12-03,0.32625,0.38,0.25,0.026672327
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-12-04,0.323333333,0.34,0.3,0.020144406
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-12-05,0.335,0.38,0.3,0.027186953
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-12-06,0.317916667,0.34,0.25,0.024668087
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-12-07,0.333333333,0.38,0.3,0.022586388
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-12-08,0.325,0.38,0.3,0.02303117
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-12-09,0.326666667,0.38,0.3,0.022586388
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-12-10,0.319583333,0.38,0.25,0.027422486
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-12-11,0.318333333,0.38,0.3,0.026320213
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-12-12,0.323333333,0.34,0.3,0.020144406
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-12-13,0.331666667,0.38,0.3,0.023529199
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-12-14,0.338333333,0.38,0.3,0.022001317
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-12-15,0.335,0.38,0.3,0.027186953
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-12-16,0.3275,0.38,0.25,0.032066507
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-12-17,0.328333333,0.38,0.3,0.024963742
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-12-18,0.326666667,0.34,0.3,0.019261736
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-12-19,0.33125,0.38,0.25,0.032210247
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-12-20,0.328333333,0.38,0.3,0.022001317
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-12-21,0.323333333,0.38,0.3,0.023343683
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-12-22,0.33,0.38,0.3,0.021264381
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-12-23,0.328333333,0.38,0.3,0.024963742
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-12-24,0.336666667,0.38,0.3,0.026154502
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-12-25,0.332916667,0.38,0.25,0.031551086
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-12-26,0.331666667,0.34,0.3,0.016594045
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-12-27,0.319166667,0.34,0.25,0.028424831
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-12-28,0.325,0.34,0.3,0.019781414
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-12-29,0.331666667,0.38,0.3,0.023529199
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-12-30,0.33,0.38,0.3,0.02431675
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-12-31,0.33,0.38,0.3,0.021264381
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-01-01,0.333333333,0.38,0.3,0.022586388
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-01-02,0.332083333,0.43,0.3,0.030213611
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-01-03,0.328333333,0.38,0.3,0.024963742
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-01-04,0.325,0.38,0.3,0.02303117
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-01-05,0.328333333,0.38,0.3,0.022001317
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-01-06,0.329583333,0.38,0.25,0.032767848
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-01-07,0.33,0.38,0.3,0.021264381
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-01-08,0.327916667,0.38,0.25,0.028738577
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-01-09,0.336666667,0.34,0.3,0.011293194
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-01-10,0.331666667,0.38,0.3,0.026320213
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-01-11,0.333333333,0.38,0.3,0.028078565
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-01-12,0.331666667,0.34,0.3,0.016594045
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-01-13,0.318333333,0.34,0.3,0.020359095
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-01-14,0.323333333,0.34,0.3,0.020144406
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-01-15,0.327916667,0.38,0.25,0.031065032
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-01-16,0.315416667,0.38,0.25,0.03348967
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-01-17,0.333333333,0.38,0.3,0.019261736
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-01-18,0.326666667,0.38,0.3,0.022586388
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-01-19,0.325,0.38,0.3,0.02303117
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-01-20,0.331666667,0.38,0.3,0.023529199
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-01-21,0.333333333,0.38,0.3,0.022586388
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-01-22,0.324583333,0.38,0.25,0.029485319
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-01-23,0.33,0.38,0.3,0.021264381
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-01-24,0.331666667,0.38,0.3,0.023529199
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-01-25,0.328333333,0.38,0.3,0.024963742
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-01-26,0.325,0.38,0.3,0.025875958
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-01-27,0.325,0.38,0.3,0.02303117
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-01-28,0.323333333,0.38,0.3,0.023343683
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-01-29,0.32125,0.38,0.25,0.027396049
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-01-30,0.319166667,0.34,0.25,0.028424831
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-01-31,0.322916667,0.34,0.25,0.024579802
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-02-01,0.324583333,0.38,0.25,0.031757117
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-02-02,0.32625,0.38,0.25,0.029164079
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-02-03,0.32125,0.38,0.25,0.027396049
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-02-04,0.333333333,0.38,0.3,0.028078565
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-02-05,0.333333333,0.38,0.3,0.022586388
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-02-06,0.326666667,0.38,0.3,0.022586388
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-02-07,0.328333333,0.38,0.3,0.022001317
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-02-08,0.333333333,0.34,0.3,0.01522774
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-02-09,0.328333333,0.38,0.3,0.022001317
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-02-10,0.322916667,0.38,0.25,0.029705682
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-02-11,0.335,0.38,0.3,0.029635466
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-02-12,0.33,0.38,0.3,0.02431675
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-02-13,0.321666667,0.34,0.3,0.020359095
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-02-14,0.334583333,0.38,0.25,0.028434389
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-02-15,0.335,0.38,0.3,0.021467873
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-02-16,0.335,0.38,0.3,0.021467873
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-02-17,0.325,0.38,0.3,0.02303117
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-02-18,0.33,0.34,0.3,0.017693035
blackrock,1A,blackrock_1A,43.82332,-110.34892,2022-02-19,0.325,0.38,0.3,0.025875958
