site,elev,slope,forest,logarea,loglake,gw,area,lake
blackrock_1A,2738.546281407486,12.684723207746917,0.194785509857256,4.826879279931072,-4.199705077879927,0.07929988005002396,124.82082137137284,0.014999999999999998
blacktail_1A,2137.5257124429563,5.422931495493578,0.2207218744330654,4.112111851775258,-4.710530701645918,0.6655769126174519,61.07556400772024,0.009
cabin_NA,2213.278845950977,22.397686878022927,0.2873231973570029,3.1573657570415548,-6.907755278982137,0.07809458069903279,23.50858696191606,0.0010000000000000002
cliff_1A,2451.4638708448806,20.574458771148116,0.2970709305384058,5.066413381342599,-3.036554268074246,0.13315382268744566,158.6044523041902,0.048
cody_Moment,1877.2985232780895,5.824843315900403,0.06332512184069322,0.7354112780708846,-4.135166556742356,0.58551260435729,2.086339881919229,0.015999999999999997
cottonwoodNPS_lower,2613.329491397936,23.941687477950797,0.15714796726498884,5.231832823604244,2.4292177439274116,0.31916729835058244,187.13547571247753,11.35
crystal_1A,2842.517179890845,18.81820251967065,0.26190163410230904,5.220873533603709,-0.9288695140810151,0.05956663221676697,185.0958008735208,0.395
deadmans_1A,2113.15946125683,6.5150600860104015,0.06437631331474486,2.4554940101021283,-0.14502577205025774,0.24364497888116843,11.652188426073078,0.865
dell_NA,2402.106204694693,14.566811814602032,0.17000174038048693,5.3677143756934775,-2.7806208939370456,0.14858454705359872,214.37233271423895,0.06199999999999999
ditch_upper,2510.621931375477,13.555720394708988,0.27735112291443126,4.214769235547954,-2.375155785828881,0.0946760833820215,67.67854626613205,0.09300000000000001
dog_NA,2244.7150192745044,21.34174186066969,0.2604489163758537,3.437611682862495,-5.298317366548036,0.07664358184440316,31.112562697001984,0.005000000000000002
fish_downstream,2317.84551851829,18.585276237481484,0.12171463069252542,3.656034962728805,-6.214608098422191,0.4583480493511325,38.70756127479323,0.0020000000000000005
flat_4B,2684.484472397443,18.722531542521033,0.22752532078046653,4.835405239789904,-1.1332037334377287,0.29959397737159743,125.88958834185053,0.322
goosewing_NA,2706.739449874198,13.026255959111728,0.2546779320446492,3.698732641641386,-6.907755278982137,0.1105225929957946,40.39607560025868,0.0010000000000000002
granite_NA,2597.531611170271,21.67033237319418,0.22147602949318365,5.393225475851326,-1.2982834837971773,0.1746868277901657,219.9115622700647,0.273
grosventre_upper,2818.941211407565,14.011518492332913,0.1614849693934845,5.584029930902989,-0.47965000629754095,0.10167608048717536,266.141981363092,0.619
hoback_upper,2698.1777067687062,19.736010495147855,0.1889208921460168,4.735190818305341,-5.115995809754082,0.11826063374062472,113.88518802355165,0.005999999999999998
lava_NA,2456.518167850207,15.580445131253626,0.32551919472671237,4.214469247676238,-5.298317366548036,0.07225447544769958,67.65824656806068,0.005000000000000002
lowerbarbc_SG,1951.8907255038991,3.5251813877618723,0.15904397880071924,1.856169314127841,-6.214608098422191,0.5888430035728558,6.39917652506014,0.0020000000000000005
mosquito_1A,2348.381839724342,19.20742255334305,0.355406151231176,4.121073380597203,-6.907755278982137,0.2334403172476418,61.62535423595984,0.0010000000000000002
nowlin_NA,2394.1966527221743,14.606922193868742,0.2552795401019964,4.41351065842277,-2.7181005369557116,0.29554793345406744,82.55879105713805,0.06599999999999999
pacific_NA,2478.990700719959,12.214150521832105,0.20212538210037695,6.036015828158918,2.2695452389158453,0.07782179846034017,418.2234370716601,9.674999999999997
shoal_NA,2454.598147251746,17.650486471720587,0.16494845824779364,4.414643423601898,-5.809142990314028,0.13776612528740617,82.65236376882756,0.002999999999999999
slate_NA,2539.4344382771023,16.383598485106567,0.1949624607356099,4.5771597111477265,-6.907755278982137,0.04651133409571038,97.23781812416782,0.0010000000000000002
spread_1A,2697.5533361965604,15.684343325827651,0.23306247184863113,5.2824472214414255,-3.146555163288575,0.06168404289231059,196.8510244202386,0.04299999999999999
spring_JLD,2090.186221960558,1.6067750479764698,0.17733602234791293,1.3895268968714722,-6.907755278982137,0.15847641183481373,4.01295106411777,0.0010000000000000002
threechannel_1A,1983.4011142985692,3.35139822993229,0.17607839395210248,3.453594611924275,-4.605170185988091,0.3252437692007034,31.613827750612476,0.010000000000000004
threechannel_3A,1916.9767109069649,0.8455389300360198,0.11150652593337836,-0.35902321642861384,-5.298317366548036,0.34650829893113516,0.698358137781511,0.005000000000000002
unkspring_Ford,1857.4180496022552,0.3852588196362289,0.32001641269121267,-1.340199953080666,-5.298317366548036,0.553390087049524,0.26179331696634195,0.005000000000000002
upperbarbc_SG,2030.9153838278623,2.4208271662365854,0.04486848516809982,1.7471566640482157,-3.2968373663379125,0.8329775132348801,5.738263647010908,0.037000000000000005
willow_4B,2466.568641063023,23.896561059599534,0.3129380119532207,5.217298683113256,-6.907755278982137,0.1686686569545209,184.43529237197467,0.0010000000000000002
