"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha.sect.adj[14]",-0.0180243342863057,0.0258349274661061,-0.0712868001108564,-0.0343567018861934,-0.0170230858147117,-0.00142025529162025,0.0313654214058088,1.00326909075122,850
"alpha.sect.adj[15]",-0.0189979306619227,0.025442204822825,-0.0715020979123467,-0.035270783206258,-0.0177896690398139,-0.00234851289024865,0.0289539103018647,1.00358704826193,750
"alpha.sect.adj[16]",-0.0204614201196529,0.0255361727390927,-0.0742509904789946,-0.0360963116097936,-0.0190991670990278,-0.00367806118240733,0.0264030577788722,1.00398041395038,650
"alpha.sect.adj[17]",-0.0188839889338116,0.0251366969529745,-0.0702959052677554,-0.0347441192453157,-0.0176082552010037,-0.00252236685871328,0.0281208043816384,1.00386009484779,680
"alpha.sect.adj[18]",-0.0276948864081669,0.0238048934022275,-0.0766738155171612,-0.0426426251438072,-0.0266574198478007,-0.0118873327977409,0.0171197628069538,1.00121519942688,6300
"alpha.sect.adj[19]",-0.0268895767074095,0.0243478757127811,-0.0760033896127608,-0.0423796346509826,-0.0262905367530497,-0.0111143248545113,0.0203511851349177,1.00127551782322,5300
"alpha.sect.adj[20]",-0.0290282751469477,0.0235146587140089,-0.0777645190127368,-0.0438989589629981,-0.0277982846813081,-0.013089102036577,0.0138880928166634,1.00171629550092,2400
"alpha.sect.adj[21]",-0.0277375983916242,0.0243470507270445,-0.0783105852694563,-0.0430243556976469,-0.0268644687305671,-0.0116833056086726,0.0187014116753615,1.0012180087342,6300
"alpha.sect.adj[22]",0.0499260063344168,0.0252612829497752,0.000457869372385801,0.0334527849828561,0.0496431114741466,0.0662399311263317,0.0996708287117047,1.00425944840371,600
"alpha.sect.adj[23]",0.050161833027187,0.0246402270957979,0.00242147037487309,0.0340748342525597,0.0497283942456637,0.0660958459770253,0.0984603514044335,1.00427353668457,600
"alpha.sect.adj[24]",0.0497715334248666,0.0248729856481488,0.000947020659915516,0.0336565147050206,0.0496427771512154,0.065817718957744,0.0981184269118814,1.00375794894598,700
"alpha.sect.adj[25]",0.0496636043302231,0.025299909156227,0.000656419110821436,0.0330913977507409,0.0493597363087146,0.0659932648979118,0.0995318746170044,1.00339313985269,800
"alpha.sect.adj[26]",-0.00811747728641482,0.0277602880384224,-0.0634288024144796,-0.0257473237527727,-0.00702655540249016,0.00922787885360497,0.0455828650922049,1.00123960120091,5900
"alpha.sect.adj[27]",-0.0088167290299007,0.0277625279411,-0.0658458258499334,-0.0259362641175838,-0.00767429558524919,0.0085299362756065,0.044694766129753,1.00096943894726,15000
"alpha.sect.adj[28]",-0.00997081176039013,0.0272765170137686,-0.0649661565184475,-0.0269950692854053,-0.00830738540122204,0.0073599789967901,0.041824320973972,1.00135567102211,4400
"alpha.sect.adj[29]",0.000363847464813229,0.0212446699577829,-0.0424685951086414,-0.0127149781033147,9.75627656225973e-05,0.013214251088394,0.0437321820886639,1.00193600751354,1900
"alpha.sect.adj[30]",-0.00192862639648042,0.0212777081981143,-0.0460331064806007,-0.0145221587214716,-0.00143936413263863,0.0111690751144678,0.0403862806840829,1.00164318386907,2700
"alpha.sect.adj[31]",-0.000661155971283932,0.0211749754257729,-0.0432333824758537,-0.0131541716724856,-0.00056958710453305,0.0121508894705808,0.0416035748924638,1.00148751533712,3400
"alpha.sect.adj[32]",-2.94284302782455e-05,0.0219960827752079,-0.0446176574138243,-0.0131583272953768,-0.000288063816154599,0.012999681315348,0.0446468877931566,1.00182318335702,6600
"alpha.sect.adj[33]",-0.00224899210621308,0.025730001558788,-0.0537413753464149,-0.0186562978807182,-0.00200031840427113,0.0142361642322348,0.0483721365108344,1.00165171556746,2700
"alpha.sect.adj[34]",-0.00158076102571165,0.0260876651900756,-0.0525871636660517,-0.0185079817162662,-0.00153270562755367,0.0147322922455902,0.0512310111503581,1.00113434629774,8500
"alpha.sect.adj[35]",-0.00235996925858592,0.0260817245717604,-0.0539492596520321,-0.0188196376231378,-0.00206439342107008,0.0141224804402655,0.0493370132267591,1.00138155254504,4100
